,publisedAt,username,commentDisplay
0,2025-11-12T04:57:26Z,@rbeberumahbelajarbersama5746,"Izin kak Raymond, tahun 1965 menurut data yang ada bukan redenominasi melainkan sanering"
1,2025-11-12T04:56:15Z,@muhammadakbarw1288,"Wah kadang gua suka kelebihan 0 lagi 😂, mudah&quot;an gak salah kirim"
2,2025-11-12T04:56:08Z,@iPhoneX-j9s,Rasa hmpir smua org kok.. Ngmong.. Eh lu beli baju brp.. 200 pdhl 200rb..atw kmarin lu beli topi brp 50 pghal 50rb..malah dtmpt sy udh biasa ngmong 1jt itu sribu😃
3,2025-11-12T04:54:30Z,@Gaffialfatih,"Dari Bennix trus kesini dulu, sebelum komen macem2 supaya informasi bisa berimbang dan gak asal njelasin ke orang sekitar. Tinggal wait and see aja😊Terimakasih Raymond 🙏😊"
4,2025-11-12T04:53:57Z,@DrBethanyHughes,"Sekilas keliatan biasa, tapi 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 tuh beda."
5,2025-11-12T04:53:36Z,@JohnLawrence-f3g,Gak tahu harus ke mana? 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 jawabannya.
6,2025-11-12T04:53:36Z,@eemenk4177,"Cukup setuju dengan redenominasi, tapi pasti bakalan banyak jegalan dari para koruptor, kita amati saja nanti kalau ini jadi direalisasikan dan banyak pejabat yg tidak setuju sudah dipastikan banyak yg korupsi"
7,2025-11-12T04:53:36Z,@LynneWhitehead-King,"Stay real, stay tulus, stay 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝. ❤"
8,2025-11-12T04:53:31Z,@RichardGreen-m3c,"Dulu skeptis, sekarang malah betah diP͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?"
9,2025-11-12T04:53:29Z,@andrzldi,yang koropsi duwitya di bangker ketar ketir ni pejabat wk wk
10,2025-11-12T04:53:28Z,@LesleyHope-j2t,Suasana hati bisa berubah setelah buka P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?
11,2025-11-12T04:53:27Z,@KarenSmith-o1n,"Sekali buka 🄿🅄🄻🄰🅄🅆🄸🄽, lupa waktu."
12,2025-11-12T04:53:25Z,@AbigailCook-Barnes,Gak perlu banyak alasan buat balik ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕.
13,2025-11-12T04:53:24Z,@KatieThomas-Hussain,"Dibilang random, padahal rutin ke P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?"
14,2025-11-12T04:53:19Z,@JeanBaker-d8t,Gak jenuh kalau ada P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟? di sela hari.
15,2025-11-12T04:53:13Z,@BryanWard-Hall,Capek pikiran? Coba selipin waktu buat P 𝖀 L 𝖠 𝖀 W 𝖨 𝖭.
16,2025-11-12T04:53:11Z,@PaulineGraham-g6f,"Dibilang mager, padahal lagi buka 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝."
17,2025-11-12T04:53:06Z,@Faiz509,Itukan dulu. Sekarang rakyat pinter pinter.
18,2025-11-12T04:53:06Z,@SamuelMcKenzie-l2p,Rame-nya beda kalo diP͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?
19,2025-11-12T04:52:44Z,@JaniceBennett-t8c,"Jeda sebentar, mampir ke 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 dulu."
20,2025-11-12T04:52:40Z,@TonyWhite-e3u,"Tiap buka 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡, pikiran lebih enteng."
21,2025-11-12T04:52:39Z,@DrKatePowell,"Niat awal nyari hiburan, nyangkut di ͟PU͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?"
22,2025-11-12T04:52:34Z,@MrBrandonSchofield,"lumayan buat jajan, thanks PULAUWIN 😆”"
23,2025-11-12T04:52:25Z,@TonyGriffiths-f9h,"lagi gabut, ya ke P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟? lah."
24,2025-11-12T04:52:23Z,@ArnoldoCrothers-l5b,"Cuan gak ada abisnya, cuma di P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?"
25,2025-11-12T04:52:20Z,@MissTinaRobson,Gokil parah! WD lagi-lagi di P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?
26,2025-11-12T04:52:18Z,@TobyKnight-d2x,"<a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=390"">06:30</a> P U L A U W I N bahaya buat orang ketagihan"
27,2025-11-12T04:52:17Z,@WayneBurton-Fox,FOYA-FOYA juga seru banget gara-gara PuIauwin
28,2025-11-12T04:52:16Z,@MrMathewJones,"apalagi ini <a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=421"">07:01</a> Ｐ ＵＬ Ａ Ｕ W I N ⚡"
29,2025-11-12T04:52:09Z,@LisaWilson-o9u,"<a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=335"">05:35</a> P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟? tempat ngadu nasib wkwkw"
30,2025-11-12T04:51:59Z,@martinussitohang7131,"harus segera disosialisasikan secepatnya, apalagi tingkat kepercayaan kpd menteri keuangan sedang bagus-bagusnya..,<br>jangan sampai para pelaku korupsi curi start membangun framing negatif ke masyarakat agar sikonnya jadi tidak kondusif..!!"
31,2025-11-12T04:50:34Z,@wijayakertarajasa642,saya agak pesimis harga akan naik jika redominasi tetapi standar gaji masi tetap
