,publisedAt,username,commentDisplay,text_clean,text_caseFolding,text_slangWords,text_tokenizing,text_stopwords,text_final,Sentiment,Sentiment_Label
0,2025-11-12T04:57:26Z,@rbeberumahbelajarbersama5746,"Izin kak Raymond, tahun 1965 menurut data yang ada bukan redenominasi melainkan sanering",Izin kak Raymond tahun  menurut data yang ada bukan redenominasi melainkan sanering,izin kak raymond tahun  menurut data yang ada bukan redenominasi melainkan sanering,izin kak raymond tahun menurut data yang ada bukan redenominasi melainkan sanering,"['izin', 'kak', 'raymond', 'tahun', 'menurut', 'data', 'yang', 'ada', 'bukan', 'redenominasi', 'melainkan', 'sanering']","['izin', 'kak', 'raymond', 'data', 'redenominasi', 'sanering']",izin kak raymond data redenominasi sanering,0,Negative
1,2025-11-12T04:56:15Z,@muhammadakbarw1288,"Wah kadang gua suka kelebihan 0 lagi 😂, mudah&quot;an gak salah kirim",Wah kadang gua suka kelebihan  lagi  mudahquotan gak salah kirim,wah kadang gua suka kelebihan  lagi  mudahquotan gak salah kirim,wah kadang gua suka kelebihan lagi mudahquotan tidak salah kirim,"['wah', 'kadang', 'gua', 'suka', 'kelebihan', 'lagi', 'mudahquotan', 'tidak', 'salah', 'kirim']","['kadang', 'gua', 'suka', 'kelebihan', 'mudahquotan', 'salah', 'kirim']",kadang gua suka kelebihan mudahquotan salah kirim,2,Positive
2,2025-11-12T04:56:08Z,@iPhoneX-j9s,Rasa hmpir smua org kok.. Ngmong.. Eh lu beli baju brp.. 200 pdhl 200rb..atw kmarin lu beli topi brp 50 pghal 50rb..malah dtmpt sy udh biasa ngmong 1jt itu sribu😃,Rasa hmpir smua org kok Ngmong Eh lu beli baju brp  pdhl rbatw kmarin lu beli topi brp  pghal rbmalah dtmpt sy udh biasa ngmong jt itu sribu,rasa hmpir smua org kok ngmong eh lu beli baju brp  pdhl rbatw kmarin lu beli topi brp  pghal rbmalah dtmpt sy udh biasa ngmong jt itu sribu,rasa hmpir smua orang kok ngmong eh kamu beli baju brp pdhl rbatw kmarin kamu beli topi brp pghal rbmalah dtmpt sy udh biasa ngmong jt itu sribu,"['rasa', 'hmpir', 'smua', 'orang', 'kok', 'ngmong', 'eh', 'kamu', 'beli', 'baju', 'brp', 'pdhl', 'rbatw', 'kmarin', 'kamu', 'beli', 'topi', 'brp', 'pghal', 'rbmalah', 'dtmpt', 'sy', 'udh', 'biasa', 'ngmong', 'jt', 'itu', 'sribu']","['hmpir', 'smua', 'orang', 'ngmong', 'eh', 'beli', 'baju', 'brp', 'pdhl', 'rbatw', 'kmarin', 'beli', 'topi', 'brp', 'pghal', 'rbmalah', 'dtmpt', 'sy', 'udh', 'ngmong', 'jt', 'sribu']",hmpir smua orang ngmong eh beli baju brp pdhl rbatw kmarin beli topi brp pghal rbmalah dtmpt sy udh ngmong jt sribu,1,Neutral
3,2025-11-12T04:54:30Z,@Gaffialfatih,"Dari Bennix trus kesini dulu, sebelum komen macem2 supaya informasi bisa berimbang dan gak asal njelasin ke orang sekitar. Tinggal wait and see aja😊Terimakasih Raymond 🙏😊",Dari Bennix trus kesini dulu sebelum komen macem supaya informasi bisa berimbang dan gak asal njelasin ke orang sekitar Tinggal wait and see ajaTerimakasih Raymond,dari bennix trus kesini dulu sebelum komen macem supaya informasi bisa berimbang dan gak asal njelasin ke orang sekitar tinggal wait and see ajaterimakasih raymond,dari bennix terus kesini dulu sebelum komen macem supaya informasi bisa berimbang dan tidak asal njelasin ke orang sekitar tinggal wait and see ajaterimakasih raymond,"['dari', 'bennix', 'terus', 'kesini', 'dulu', 'sebelum', 'komen', 'macem', 'supaya', 'informasi', 'bisa', 'berimbang', 'dan', 'tidak', 'asal', 'njelasin', 'ke', 'orang', 'sekitar', 'tinggal', 'wait', 'and', 'see', 'ajaterimakasih', 'raymond']","['bennix', 'kesini', 'komen', 'macem', 'informasi', 'berimbang', 'njelasin', 'orang', 'tinggal', 'wait', 'see', 'ajaterimakasih', 'raymond']",bennix kesini komen macem informasi berimbang njelasin orang tinggal wait see ajaterimakasih raymond,2,Positive
4,2025-11-12T04:53:57Z,@DrBethanyHughes,"Sekilas keliatan biasa, tapi 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 tuh beda.",Sekilas keliatan biasa tapi 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 tuh beda,sekilas keliatan biasa tapi 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 tuh beda,sekilas keliatan biasa tapi 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 tuh beda,"['sekilas', 'keliatan', 'biasa', 'tapi', '𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕', 'tuh', 'beda']","['sekilas', 'keliatan', '𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕', 'tuh', 'beda']",sekilas keliatan 𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 tuh beda,1,Neutral
5,2025-11-12T04:53:36Z,@JohnLawrence-f3g,Gak tahu harus ke mana? 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 jawabannya.,Gak tahu harus ke mana 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 jawabannya,gak tahu harus ke mana 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 jawabannya,tidak tahu harus ke mana 𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 jawabannya,"['tidak', 'tahu', 'harus', 'ke', 'mana', '𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡', 'jawabannya']","['𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡', 'jawabannya']",𝗣𝗨𝗟𝗔𝗨𝗪𝗜𝗡 jawabannya,1,Neutral
6,2025-11-12T04:53:36Z,@eemenk4177,"Cukup setuju dengan redenominasi, tapi pasti bakalan banyak jegalan dari para koruptor, kita amati saja nanti kalau ini jadi direalisasikan dan banyak pejabat yg tidak setuju sudah dipastikan banyak yg korupsi",Cukup setuju dengan redenominasi tapi pasti bakalan banyak jegalan dari para koruptor kita amati saja nanti kalau ini jadi direalisasikan dan banyak pejabat yg tidak setuju sudah dipastikan banyak yg korupsi,cukup setuju dengan redenominasi tapi pasti bakalan banyak jegalan dari para koruptor kita amati saja nanti kalau ini jadi direalisasikan dan banyak pejabat yg tidak setuju sudah dipastikan banyak yg korupsi,cukup setuju dengan redenominasi tapi pasti bakalan banyak jegalan dari para koruptor kita amati saja nanti kalau ini jadi direalisasikan dan banyak pejabat yang tidak setuju sudah dipastikan banyak yang korupsi,"['cukup', 'setuju', 'dengan', 'redenominasi', 'tapi', 'pasti', 'bakalan', 'banyak', 'jegalan', 'dari', 'para', 'koruptor', 'kita', 'amati', 'saja', 'nanti', 'kalau', 'ini', 'jadi', 'direalisasikan', 'dan', 'banyak', 'pejabat', 'yang', 'tidak', 'setuju', 'sudah', 'dipastikan', 'banyak', 'yang', 'korupsi']","['setuju', 'redenominasi', 'jegalan', 'koruptor', 'amati', 'direalisasikan', 'pejabat', 'setuju', 'korupsi']",setuju redenominasi jegalan koruptor amati direalisasikan pejabat setuju korupsi,2,Positive
7,2025-11-12T04:53:36Z,@LynneWhitehead-King,"Stay real, stay tulus, stay 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝. ❤",Stay real stay tulus stay 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,stay real stay tulus stay 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,stay real stay tulus stay 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,"['stay', 'real', 'stay', 'tulus', 'stay', '𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝']","['stay', 'real', 'stay', 'tulus', 'stay', '𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝']",stay real stay tulus stay 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,1,Neutral
8,2025-11-12T04:53:31Z,@RichardGreen-m3c,"Dulu skeptis, sekarang malah betah diP͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?",Dulu skeptis sekarang malah betah diPULAUWIN,dulu skeptis sekarang malah betah dipulauwin,dulu skeptis sekarang malah betah dipulauwin,"['dulu', 'skeptis', 'sekarang', 'malah', 'betah', 'dipulauwin']","['skeptis', 'betah', 'dipulauwin']",skeptis betah dipulauwin,1,Neutral
9,2025-11-12T04:53:29Z,@andrzldi,yang koropsi duwitya di bangker ketar ketir ni pejabat wk wk,yang koropsi duwitya di bangker ketar ketir ni pejabat wk wk,yang koropsi duwitya di bangker ketar ketir ni pejabat wk wk,yang koropsi duwitya di bangker ketar ketir ni pejabat tertawa tertawa,"['yang', 'koropsi', 'duwitya', 'di', 'bangker', 'ketar', 'ketir', 'ni', 'pejabat', 'tertawa', 'tertawa']","['koropsi', 'duwitya', 'bangker', 'ketar', 'ketir', 'ni', 'pejabat', 'tertawa', 'tertawa']",koropsi duwitya bangker ketar ketir ni pejabat tertawa tertawa,1,Neutral
